newLemmaId,title,name,tags,description,别名,饰演,外貌,生日,魔杖,性别,性格特点,isa,url,resource_video,resource_picture,resource_QA,妻子,丈夫,兄弟,姐妹,父亲,朋友,学生,老师,仇人,主人,宠物
1921304,米勒娃.麦格,麦格,哈利·波特，霍格沃兹，格兰芬多，邓布利多,霍格沃茨魔法学校副校长、代理校长、校长，格兰芬多学院院长，变形课教授，一位坚强的女巫，魁地奇狂热者。她是位公平的导师，对四个学院一视同仁，跟斯内普教授不同，即便是自己学院的学生触犯校规她也严惩不贷，即使最后丢掉学院杯，因此获得了全体同学的尊敬，她在校长之位上也会将她公平的原则继续下去。,"[麦格教授,-1,""""]","[""玛吉·史密斯"",""-1"",""""]","[""麦格教授戴着方形的眼镜，有着曲卷束成高髻的黑发，穿着深绿色长袍，她的衬衣是苏格兰格子。她的睡衣是格子花呢晨衣和发网，随身携带一个蕾丝手帕。1994年的圣诞舞会上，她穿着红色格子呢的长袍，还在帽檐上装饰了一圈很独特的蓟草花环。"",""-1"",""""]","[""10/4"",""-1"",""""]",,"[""女"",""-1"",""""]","[""非常严厉，说话简练，苛刻、外冷内热、对违反规定的人几乎没有耐性，有着典型的英国式的幽默"",""-1"",""""]","[""格兰芬多"",""magic world_C18"",""""]",https://baike.baidu.com/item/%E7%B1%B3%E5%8B%92%E5%A8%83%C2%B7%E9%BA%A6%E6%A0%BC/1921304?fr=aladdin,,./resource/picture/麦格.jpg,"[""米勒娃·麦格是一个很有天分的魁地奇球员，在七年级时一次很严重的坠地事故对她造成了怎样的影响？"",""使她脑震荡，断了几根肋骨并且此生极其盼望斯莱特林能够输个惨败。"",""""]",,,,,,"[""邓布利多"",""5709387"",""""]","[""哈利·波特"",""799457"",""""]",,"[""伏地魔"",""1127381"",""""]",,
5019121,多洛雷斯·乌姆里奇,乌姆里奇,哈利·波特，伏地魔，食死徒,多洛雷斯·乌姆里奇是《哈利·波特》系列小说中的反派角色，全名为多洛雷斯·简·乌姆里奇，是一个矮胖的丑女人。她是康奈利·福吉的心腹，在哈利五年级时，担任霍格沃茨黑魔法防御术课教授，魔法部高级副部长，霍格沃茨高级调查官，后又担任了霍格沃茨校长，先后颁布了多部教育令，试图干涉霍格沃茨的教学。,"[粉红色的癞蛤蟆,-1,]","[""海伦娜·林布瑞"",""-1"",""""]","[""她长着一张宽阔、皮肉松弛的脸，短短的卷发上还带着一个黑色天鹅绒小蝴蝶结，乌姆里奇的声音尖细，听上去像小姑娘一般大惊小怪。她习惯用做作的少女的声音说话，喜欢穿毛绒绒粉红色开襟毛衣。"",""-1"",""""]","[""8/26"",""-1"",""""]","[""桦木、杖心是龙心弦、长度是8英寸。"",""-1"",""""]","[""女"",""-1"",""""]","[""专横跋扈、自以为是、蛮不讲理、刻板高压、她是一个控制欲突破天际的人，她喜欢控制人，她认为，在她看来，一切挑战她的权威和任何反对她与她三观不符合的人都应该受到惩罚，常常高声“Hem-Hem""来引起他人的注意，她几乎就是一个有着强烈报复欲坏心肠的疯子。她及其热衷于，并且享受控制和羞辱他人"",""-1"",""""]","[""部长"",""magic world_C9"",""""]",https://baike.baidu.com/item/%E5%A4%9A%E6%B4%9B%E9%9B%B7%E6%96%AF%C2%B7%E4%B9%8C%E5%A7%86%E9%87%8C%E5%A5%87/5019121?fromtitle=%E4%B9%8C%E5%A7%86%E9%87%8C%E5%A5%87&fromid=5865010&fr=aladdin#2,,./resource/picture/乌姆里奇.jpg,"[""她是食死徒吗？"",""乌姆里奇不是食死徒，但小天狼星说“世界上的人不能只分善良的人和食死徒两种。”像乌姆里奇戴着“普通人”的假面具，处于体制的中心环节，利用权力加害于他人的人，如果靠近她，恐怕比靠近一个食死徒还要可怕。"",""""]",,,,,,,,,,"[""伏地魔"",""1127381"",""""]",
7495305,亚瑟·韦斯莱,亚瑟·韦斯莱,哈利·波特，罗恩，魔法部,他在魔法部禁止滥用麻瓜物品司工作。韦斯莱一家均为凤凰社成员,,"[""马克·威廉姆斯"",""-1"",""""]","[""亚瑟的红色头发逐渐稀疏，上面有一块秃顶。他个子高瘦，戴着眼镜，经常穿长袍，但在装扮麻瓜时会穿牛仔裤和毛衣（《哈利·波特与火焰杯》第六章），或是条纹长裤和旧军用飞行员皮夹克"",""-1"",""""]","[""2/6"",""-1"",""""]",,"[""男"",""-1"",""""]","[""天生随和，行为古怪"",""-1"",""""]","[""国际魔法合作司"",""magic world_C11"",""""]",https://baike.baidu.com/item/%E4%BA%9A%E7%91%9F%C2%B7%E9%9F%A6%E6%96%AF%E8%8E%B1/7495305?fr=aladdin#5,,./resource/picture/亚瑟·韦斯莱.jpg,"[""亚瑟撰写了哪项魔法部里的一项重要法令？"",""《麻瓜保护法》"",""""]",,,,,,"[""莱姆斯·卢平"",""6124466"",""""]",,,"[""伏地魔"",""1127381"",""""]",,
8250555,伊戈尔·卡卡洛夫,卡卡洛夫,哈利·波特，食死徒，德姆斯特朗魔法学校,卡卡洛夫是个食死徒，被“疯眼汉”穆迪经过六个月的追击抓获归案送进阿兹卡班。卡卡洛夫受审时已经是在伏地魔垮台之后，面临阿兹卡班的无期徒刑，但是他与原魔法法律执行司的司长克劳奇达成协议，在魔法法律评议会上供出其他食死徒的名字，作为放他出狱的条件。他背叛了同伙，供出了其他的食死徒（包括奥古斯特·卢克伍德和斯内普），从而换来了免除惩罚的好处。之后卡卡洛夫成了德姆斯特朗魔法学校的校长（火焰杯）教学生黑魔法。,,,"[""又高又瘦，留着短短的白头发，瘦削的下巴上长着末梢打着小卷的山羊胡子的男巫。"",""-1"",""""]",,,"[""男"",""-1"",""""]","[""说话的声音圆润悦耳，充满热情"",""-1"",""""]","[""德姆斯特朗"",""magic world_C8"",""""]",https://baike.baidu.com/item/%E4%BC%8A%E6%88%88%E5%B0%94%C2%B7%E5%8D%A1%E5%8D%A1%E6%B4%9B%E5%A4%AB/8250555?fr=aladdin,,./resource/picture/卡卡洛夫.jpg,"[""他来霍格沃茨参加三强称霸赛的时候，是谁把原来当过傲罗的疯眼汉穆迪请到学校来监视他？"",""邓布利多。"",""""]",,,,,,"[""卢修斯·马尔福"",""82441"",""""]","[""克鲁姆"",""1191359"",""""]",,,,
1127381,汤姆·马沃罗·里德尔,伏地魔,哈利·波特，汤姆·马沃罗·里德尔，食死徒,是英国作家J·K·罗琳的魔幻小说《哈利·波特》中的大反派，极端巫师纯血论恐怖组织“食死徒”（Death Eaters）的领袖，极度排斥麻瓜、麻瓜出身的巫师（泥巴种）以及不能施展魔法的巫师后裔（哑炮），两次巫师大战的发起者。有7个魂器，其中亲手制作了6个魂器【马沃罗·冈特的戒指、他本人的日记本、萨拉查·斯莱特林的挂坠盒、赫尔加·赫奇帕奇的金杯、罗伊纳·拉文克劳的冠冕、宠物蛇纳吉尼】，在试图杀死哈利·波特时，杀戮咒被哈利的母亲莉莉·波特的牺牲符咒反弹，自己的肉身被摧毁，有一部分灵魂进入了哈利的身体（使哈利成为第七个魂器）。《哈利·波特与火焰杯》中在小矮星彼得的帮助下恢复肉身。1998年5月2日在第二次巫师大战中使用老魔杖施展阿瓦达索命咒被咒语反弹身亡。,"[佛地魔（港台译）那个连名字都不能提的人、黑魔王、黑魔头,-1,]","[""拉尔夫·费因斯"",""-1"",""""]","[""16岁时：黑玉般的头发；颀长、削瘦的身材；细长的手指、高亢冷酷的笑声（《密室》第13章、第17章）18岁时：在博金-博克商店任职拜访赫普兹巴·史密斯时，他简简单单穿了一件黑袍，头发比在学校的时候长了一点，脸颊瘦削，不过这一切都很衬他，让他显得比以前更英俊了。看到赫奇帕奇金杯时，黑眼里有一道红光闪过。（《混血王子》第20章）10年后：当伏地魔拜访阿不思·邓布利多时就已经不再英俊。他死人一样苍白的脸看起来“像腊一样，古怪地扭曲着，眼白似乎永远充着血。”（《混血王子》第20章）一张蛇脸（《死亡圣器，七个波特》）"",""-1"",""""]","[""12/31"",""-1"",""""]",,"[""男"",""-1"",""""]","[""孤独"",""-1"",""""]","[""食死徒"",""magic world_C15"",""""]",https://baike.baidu.com/item/%E4%BC%8F%E5%9C%B0%E9%AD%94/1127381?fr=aladdin#1_2,./resource/video/伏地魔.mp4,./resource/picture/伏地魔.jpg,"[[""在麻瓜孤儿院中长大的汤姆·马沃罗·里德尔最初不知道自己的身世，但他意识到自己有一些特殊的力量，他意识到自己有哪些特殊力量呢？"",""隔空移物、与动物对话、让人倒霉"",""""][""在除掉自己一生中最畏惧的敌人之后，伏地魔再次制造了一场阿兹卡班的大规模越狱，将哪两场战役中中被俘的食死徒全部救出？"",""神秘事务司之战和天文塔之战"",""""]]",,,,,,,,,"[""邓布利多"",""5709387"",""""]",,
1884241,克利切,克利切,哈利·波特，精灵，布莱克家族,一个年老的家养小精灵，曾去为一个古老的黑巫师布莱克家族做事，住在厨房柜子里的大锅炉下。一直以来，克利切在布莱克家族里得到的照顾和关爱大多来自于二少爷雷古勒斯，对贝拉特里克斯·莱斯特兰奇和纳西莎·马尔福（二人原名为贝拉特里克斯·布莱克和纳西莎·布莱克）也有敬意。但大少爷小天狼星对克利切态度极其恶劣，非打即骂。,,,"[""除了腰围着一条脏兮兮的破布外，全身几乎一丝不挂。皮肤似乎比他的身体实际需要的多出了好几倍，脑袋光秃秃的，两只蝙蝠般的大耳朵里却长出了一大堆白毛，眼睛充血，灰蒙蒙的，肉乎乎的鼻子很大，简直像猪鼻子一样；牛蛙般沙哑、低沉的声音，一边对凤凰社的成员破口大骂“窝囊废”，一边在屋子里走来走去，一生最大的理想就是像他母亲那样把脑袋割下来粘在一块饰板上。"",""-1"",""""]",,,,"[""忠诚"",""-1"",""""]","[""精灵"",""magic world_C12"",""""]",https://baike.baidu.com/item/%E5%85%8B%E5%88%A9%E5%88%87/1884241?fr=aladdin#2_1,,./resource/picture/克利切.jpg,"[""在最后一部小说《哈利·波特与死亡圣器》当中，为什么说克利切是一个关键人物？"",""因为他曾经作为伏地魔的祭品目睹了伏地魔封藏金挂坠盒（一个魂器）的过程，并且是其主人雷古勒斯盗取作为伏地魔魂器的金挂坠盒的唯一知情人，正是在他的帮助下，哈利找到了金挂坠盒，毁掉了伏地魔的魂器。"",""""]",,,,,,,,,,"[""小天狼星"",""516676"",""""]",
9508804,文森特·克拉布,克拉布,哈利·波特，德拉科·马尔福，斯莱特林,克拉布是德拉科·马尔福的保镖之一，对马尔福紧随不离。克拉布是个矮胖墩，短短的锅底发型，长长的大猩猩般的手臂。在他作为斯莱特林击球手的第一次比赛中，在比赛结束的哨声响过之后，还非常卑鄙地将游走球击向哈利（凤凰社第19章）。,"[小克拉布,-1,]","[""杰米·威莱特"",""-1"",""""]","[""克拉布是个矮胖墩，短短的锅底发型，长长的大猩猩般的手臂"",""-1"",""""]","[""1980年"",""-1"",""""]",,"[""男"",""-1"",""""]","[""傲娇"",""-1"",""""]","[""斯莱特林"",""magic world_C20"",""""]",https://baike.baidu.com/item/%E6%96%87%E6%A3%AE%E7%89%B9%C2%B7%E5%85%8B%E6%8B%89%E5%B8%83/9508804?fr=aladdin,,./resource/picture/克拉布.jpg,"[""在《哈利波特与死亡圣器》中，在有求必应屋，克拉布为什么要使用黑魔法厉火？"",""想炫耀自己的能力及杀了赫敏和哈利。"",""""]",,,,,,"[""马尔福"",""3861538"",""""]",,"[""斯内普"",""1850355"",""""]",,,
82441,卢修斯·马尔福,马尔福,哈利·波特，德拉科·马尔福，食死徒,他是一名食死徒，会黑魔法。卢修斯在操纵利用别人这方面也是能手。他把自己的财富和家世作为武器，利用威胁其他巫师顺从他的命令。娶了纳西莎·布莱克为妻，并有一子德拉科·马尔福。,"[大马尔福，铂金贵族，L爹，铂金美人,-1,]","[""詹森·艾萨克"",""-1"",""""]","[""卢修斯·马尔福，淡金色的头发、冰冷的灰蓝色双眼、苍白的尖脸"",""-1"",""""]","[""1954年"",""-1"",""""]",,"[""男"",""-1"",""""]","[""他傲慢自大、有心计，善于主导一切。他自大的性格或许来源于家族的遗传，他的儿子德拉科·马尔福也跟他一样。"",""-1"",""""]","[""神秘事务司"",""magic world_C10"",""""]",https://baike.baidu.com/item/%E5%8D%A2%E4%BF%AE%E6%96%AF%C2%B7%E9%A9%AC%E5%B0%94%E7%A6%8F/82441?fr=aladdin#1,,./resource/picture/卢修斯·马尔福.jpg,"[""在1997年最后的决战中，他和妻子参加战斗了吗?被关进阿兹卡班吗?"",""他和妻子（纳西莎·马尔福）为了寻找儿子（德拉科·马尔福），根本没有参加战斗。最后，他们一家抱在一起。因为纳西莎欺骗伏地魔救了哈利有功，一家人没有被关进阿兹卡班。"",""""]",,,,,,,,,"[""邓布利多"",""5709387"",""""]","[""伏地魔"",""1127381"",""""]","[""多比"",""2115762"",""""]"
7495036,卢娜·洛夫古德,卢娜,哈利·波特，金妮·韦斯莱,于霍格沃茨学校拉文克劳学院毕业，是哈利波特的好朋友。她也能看见夜骐。卢娜有着许多并无事实根据的信念，但她坚定的信念和冷静的风度从某种角度来说是她最大的能量。,"[疯姑娘洛夫古德、疯姑娘、洛夫古德、卢娜,-1,]","[""伊文娜·林奇"",""-1"",""""]","[""她有一头及腰金发，眉毛很淡，眼珠凸出，让她看起来好像始终有一种很吃惊的表情，很明显的散发出一种怪里怪气的气质"",""-1"",""""]","[""2/13"",""-1"",""""]",,"[""女"",""-1"",""""]","[""古怪直率"",""-1"",""""]","[""拉文克劳"",""magic world_C19"",""""]",https://baike.baidu.com/item/%E5%8D%A2%E5%A8%9C%C2%B7%E6%B4%9B%E5%A4%AB%E5%8F%A4%E5%BE%B7/7495036?fr=aladdin#2,,./resource/picture/卢娜.jpg,"[""卢娜经常是大家开玩笑的对象，人们背后叫她疯姑娘洛夫古德。她为了保险起见，习惯把魔杖插在哪里？"",""耳朵后面。"",""""]",,"[""纳威·隆巴顿"",""10580365"",""""]",,,,"[""哈利·波特"",""799457"",""""]",,,,,
2504422,厄尼·麦克米兰,厄尼,哈利·波特，赫奇帕奇学院,和汉娜艾博是好朋友。在哈利波特与凤凰社中成为D.A一员。他参加了霍格沃兹第二次大战，并在战争中活了下来。,,"[""路易斯·多尔"",""-1"",""""]","[""矮、胖，华而不实，金头发"",""-1"",""""]","[""1980年"",""-1"",""""]",,"[""男"",""-1"",""""]","[""华而不实"",""-1"",""""]","[""赫奇帕奇"",""magic world_C21"",""""]",https://baike.baidu.com/item/%E5%8E%84%E5%B0%BC%C2%B7%E9%BA%A6%E5%85%8B%E7%B1%B3%E5%85%B0/2504422?fr=aladdin#1,,./resource/picture/厄尼.jpg,"[""他参加了哪一次重要战役，并在战争中活了下来？"",""霍格沃兹第二次大战"",""""]",,,,,,"[""哈利·波特"",""799457"",""""]",,,,,
